"ID","EngDispl","NumCyl","Transmission","FE","AirAspirationMethod","NumGears","TransLockup","TransCreeperGear","DriveDesc","IntakeValvePerCyl","ExhaustValvesPerCyl","CarlineClassDesc","VarValveTiming","VarValveLift","ModelYear"
207,1.6,4,"S6",45.3,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,1,2011
208,3.2,6,"S6",36.4,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
209,2.5,4,"A6",39.2,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
210,2,4,"M6",41.521,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
211,2,4,"S6",37.7989,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SmallStationWagons",1,1,2010
212,6.8,10,"A5",18.6,"NaturallyAspirated",5,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0,2011
213,3,6,"M6",36,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0,2010
214,4.7,8,"A6",25.5102,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2010
215,6.1,8,"A5",26,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"LargeCars",0,0,2010
216,2.5,5,"M6",40.4,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
217,5.5,8,"A7",32.3,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"MidsizeCars",1,0,2010
218,3,6,"S6",36.559,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",0,0,2010
219,2,4,"A4",42.6,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
220,3.7,6,"S7",36.7528,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,1,2011
221,5.6,8,"S7",32.4,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,1,2011
222,2,4,"S6",60.1,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",0,0,2010
223,5.4,8,"A4",21.6412,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0,2011
224,2,4,"A6",48.7,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2011
225,3,6,"S6",36.1548,"Turbocharged",6,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0,2010
226,1.6,4,"A4",47.9,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
227,3,6,"M6",38.7896,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,1,2010
228,5.3,8,"A6",29.3708,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",1,0,2010
229,1.8,4,"A6",49.1,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2011
230,2,4,"M5",33.4,"NaturallyAspirated",5,0,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
231,3.7,6,"A5",27.2,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",0,0,2010
232,4.3,6,"A4",27.6,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0,2010
233,8,16,"S7",17.8,"Turbocharged",7,0,0,"AllWheelDrive",2,2,"2Seaters",1,0,2010
234,4,6,"A5",27.5,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SmallPickupTrucks2WD",1,0,2012
235,2,4,"M5",41.9,"Turbocharged",5,0,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
236,2,4,"AV",38,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
237,3.5,6,"A4",41.2,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",1,1,"MidsizeCars",1,0,2010
238,3.5,6,"A4",40.3,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",1,1,"CompactCars",1,0,2010
239,3.7,6,"S7",34.5832,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
240,2.4,4,"AVS6",37.9764,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
241,5.6,8,"A5",24.1924,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
242,2,4,"M6",43.1,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",0,0,2010
243,3,6,"A6",34.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
244,3.5,6,"A6",27.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"LargeCars",1,0,2010
245,3,6,"S8",37.4,"Supercharged",8,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,0,2012
246,3.7,6,"A4",24.4,"NaturallyAspirated",4,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",0,0,2010
247,2,4,"AV",47.5129,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
248,1.6,4,"A6",51.6,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2012
249,2.3,4,"S5",34.4,"Turbocharged",5,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,1,2010
250,2.9,6,"A7",41.3608,"NaturallyAspirated",7,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
251,2.4,4,"S6",46.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
252,2.5,4,"A6",37,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
253,3,6,"S6",35.891,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SmallStationWagons",1,1,2011
254,4.6,8,"S8",33.5509,"NaturallyAspirated",8,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0,2010
255,2.4,4,"M5",41.9,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
256,2.4,4,"A5",34.3,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,1,2010
257,5.9,12,"M6",22.9258,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",0,0,2011
258,3,6,"S7",32.8579,"Turbocharged",7,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2011
259,3.6,6,"S6",37.4874,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2011
260,3,6,"S6",34.4,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
261,3.5,6,"A4",40.3,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",1,1,"LargeCars",1,0,2010
262,6,8,"AV",30.5,"NaturallyAspirated",1,0,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0,2010
263,6.2,8,"S6",35.2,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"CompactCars",1,0,2010
264,2.5,5,"M5",39.5714,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
265,5.5,8,"A7",29.3,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
266,4.8,8,"A7",33.2603,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,1,2010
267,5.3,8,"A6",28.9935,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0,2010
268,4.7,8,"A5",25.6,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",0,0,2010
269,4.8,8,"A6",25.7761,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1,2010
270,2.9,6,"A7",41.3608,"NaturallyAspirated",7,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
271,2,4,"M5",49.3,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"CompactCars",0,0,2010
272,4.6,8,"A6",33.9,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2011
273,3.6,6,"S5",34.2596,"NaturallyAspirated",5,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2011
274,2.5,4,"M6",31.3669,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"SmallStationWagons",1,0,2011
275,3.2,6,"S6",29.7,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
276,5.3,8,"A4",27.9,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"SmallPickupTrucks2WD",1,0,2010
277,3,6,"S7",32.8579,"Turbocharged",7,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0,2011
278,3.6,6,"S6",26.1066,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
279,5.3,8,"A4",26.6,"NaturallyAspirated",4,1,0,"FourWheelDrive",1,1,"SmallPickupTrucks4WD",1,0,2010
280,2.9,6,"M6",37.3296,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
281,2.4,4,"A6",40.3,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
282,2.4,4,"M6",36.7,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
283,4.2,8,"S8",35.7222,"NaturallyAspirated",8,0,0,"AllWheelDrive",2,2,"LargeCars",1,0,2011
284,1.8,4,"M5",49,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2012
285,1.8,4,"A5",50.5,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,1,2010
286,2.4,4,"A4",41.6998,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
287,2.2,4,"A4",42.3991,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
288,6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0,2011
289,4.4,8,"S6",27.7,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"LargeCars",1,0,2010
290,3,6,"M6",35.2678,"Turbocharged",6,0,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0,2010
291,1.8,4,"M6",37.62,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
292,4.6,8,"S6",34.1,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",0,0,2010
293,2,4,"S6",33.3,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
294,5.3,8,"A6",29.0185,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",1,0,2010
295,6,12,"S6",24.4,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"2Seaters",1,0,2010
296,2.5,6,"S6",40.8247,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0,2010
297,2,4,"A4",47.7,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
298,3.6,6,"S6",35.6,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
299,6,12,"S8",26.7495,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2010
300,2.7,6,"A4",35.7,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",2,2,"LargeCars",0,0,2010
301,3,6,"S8",37.5,"Supercharged",8,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,0,2012
302,4.4,8,"S6",24.9,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
303,2,4,"M5",30.6,"Turbocharged",5,0,0,"AllWheelDrive",2,2,"CompactCars",1,0,2010
304,5.2,10,"M6",24,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"2Seaters",1,0,2010
305,3.7,6,"S7",33.4,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,1,2011
306,3.8,6,"A7",36.7669,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",1,1,2011
307,3.9,6,"A4",37.3,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",1,1,"LargeCars",1,0,2010
308,4.6,8,"A4",31.9,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"LargeCars",0,0,2010
309,3.5,6,"S5",33.3,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SmallStationWagons",1,0,2010
310,2,4,"S6",37,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SubcompactCars",1,1,2010
311,2.9,4,"M5",35.2582,"NaturallyAspirated",5,0,0,"TwoWheelDriveRear",2,2,"SmallPickupTrucks2WD",0,0,2010
312,5.4,8,"A4",21.8,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0,2011
313,3,6,"S6",34.7288,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"CompactCars",1,0,2010
314,6.2,8,"S6",24.9754,"Supercharged",6,1,0,"TwoWheelDriveRear",1,1,"MidsizeCars",0,0,2010
315,2.5,4,"M5",37.5899,"NaturallyAspirated",5,0,0,"AllWheelDrive",2,2,"CompactCars",0,1,2011
316,4.8,8,"M6",30.5375,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,1,2010
317,4.4,8,"S6",26.2,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
318,4.4,8,"S8",30.9537,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2010
319,5.7,8,"S6",24.2206,"NaturallyAspirated",6,1,0,"ParttimeFourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
320,2.5,4,"A6",39.2,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
321,3.2,6,"S6",30.4926,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
322,4.6,8,"M5",31.61,"Supercharged",5,0,0,"TwoWheelDriveRear",2,1,"SubcompactCars",1,0,2010
323,2.5,4,"M6",40.2,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
324,3.7,5,"M5",25.2,"NaturallyAspirated",5,0,0,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",0,0,2010
325,3.6,6,"A7",37.6908,"NaturallyAspirated",7,0,0,"TwoWheelDriveRear",2,2,"MinicompactCars",1,1,2010
326,3.8,6,"M6",35.3594,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"MinicompactCars",1,1,2010
327,4.6,8,"A6",27.1061,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,1,"StandardPickupTrucks4WD",0,0,2010
328,1.8,4,"A4",47.2,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2011
329,2.4,4,"A5",33.6,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
330,3.5,6,"A6",37.6,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",0,0,2010
331,4.8,8,"M6",23.578,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1,2010
332,3.7,6,"A4",30.5,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",0,0,2010
333,3.8,6,"A6",31.9,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",1,1,"SpecialPurposeVehicleminivan2WD",0,0,2010
334,5.4,8,"A6",27.0426,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,1,"StandardPickupTrucks2WD",0,0,2010
335,3,6,"A6",33.1,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
336,6.8,8,"A6",21.006,"Turbocharged",6,0,0,"TwoWheelDriveRear",1,1,"CompactCars",0,0,2010
337,1.8,4,"M6",37.0028,"Supercharged",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
338,3,6,"S8",39.4937,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,1,2010
339,2.7,6,"A5",35.9,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"Other",1,0,2010
340,2.4,4,"S5",40.2796,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
341,4,6,"A5",28.6549,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
342,2,4,"A4",37.2314,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"Other",0,0,2012
343,3,6,"S6",35.5404,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"CompactCars",1,1,2010
344,2.4,4,"AVS6",40.3706,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
345,5.3,8,"A4",22.9,"NaturallyAspirated",4,1,0,"AllWheelDrive",1,1,"VansPassengerType",1,0,2010
346,6.3,8,"A7",24.7,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0,2010
347,2.2,4,"A4",42.3991,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
348,6.2,8,"A6",24.2,"NaturallyAspirated",6,1,0,"AllWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0,2011
349,4.6,8,"A4",22.7,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"LargeCars",0,0,2010
350,2.5,4,"AV",42.9,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
351,3.8,6,"A7",33.8482,"Turbocharged",7,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",1,1,2010
352,3.8,6,"A7",37.0666,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",1,1,2011
353,4.4,8,"S6",27.7307,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"LargeCars",1,0,2011
354,2.4,4,"A6",45.1499,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2012
355,1.8,4,"A4",43.7,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
356,2,4,"A5",37.5,"Turbocharged",5,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
357,6.2,8,"S6",34.3493,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"2Seaters",0,0,2010
358,6.8,8,"S8",23.4,"Turbocharged",8,0,0,"TwoWheelDriveRear",1,1,"MidsizeCars",1,0,2011
359,4.2,8,"S6",31.5002,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,0,2010
360,2.4,4,"AV",42.3947,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
361,3.6,6,"A6",33,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
362,2.4,4,"A4",35.5877,"NaturallyAspirated",4,1,0,"AllWheelDrive",2,2,"SmallStationWagons",1,0,2010
363,2.5,4,"S4",35.9226,"NaturallyAspirated",4,1,0,"AllWheelDrive",2,2,"CompactCars",0,1,2010
364,2,4,"M6",41.521,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
365,3.5,6,"A7",34.9,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0,2011
366,3.4,6,"A7",40.9978,"NaturallyAspirated",7,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
367,2.4,4,"S6",42.5,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2011
368,3.5,6,"A5",37.3499,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
369,4.4,8,"S8",31.2274,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2011
370,3,6,"A6",34.5482,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
371,4.7,8,"A5",24.5,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",1,0,2010
372,2.5,4,"AV",46.6,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
373,3.8,6,"A5",29.2986,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
374,6,12,"S6",23.8,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"CompactCars",1,0,2010
375,2.4,4,"A4",32.2765,"NaturallyAspirated",4,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
376,3.5,6,"A7",39.4699,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0,2012
377,2.4,5,"S5",39.348,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
378,2,4,"M6",41.521,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
379,6,12,"S6",24.7,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"SubcompactCars",1,0,2011
380,3,6,"S6",34.4,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2011
381,6.2,8,"A6",28.4,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0,2010
382,6,8,"AV",30.2999,"NaturallyAspirated",1,0,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0,2010
383,2.8,6,"S6",37.1185,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"MidsizeCars",1,0,2010
384,5.3,8,"A6",29,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0,2010
385,2,4,"M6",58.535,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",0,0,2010
386,3.5,6,"A6",36,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
387,6.2,8,"A6",27.4,"NaturallyAspirated",6,1,0,"AllWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0,2010
388,6,8,"A6",21.7,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0,2011
389,4,6,"A5",27.8,"NaturallyAspirated",5,1,1,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",0,0,2010
390,3.6,6,"A5",27.8,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2012
391,2,4,"S6",60.1,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",0,0,2010
392,2.4,4,"S5",42,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,1,2012
393,6.6,12,"S8",27.3,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2010
394,2.4,4,"M5",35.8103,"NaturallyAspirated",5,0,0,"TwoWheelDriveRear",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
395,1.3,2,"S6",32.1,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",0,0,"SubcompactCars",0,0,2010
396,3.7,6,"S7",35.1628,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"SubcompactCars",1,1,2011
397,3,6,"S6",34.4,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",0,0,2010
398,3,6,"S6",36.1,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SmallStationWagons",1,0,2010
399,1,3,"Other",57.8,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
400,3.5,6,"A7",35.9,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0,2010
401,2.3,4,"M6",34.7,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2011
402,1.6,4,"M6",56.5,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2012
403,3.8,6,"M6",34.3243,"NaturallyAspirated",6,0,0,"FourWheelDrive",2,2,"MinicompactCars",1,1,2012
404,3,6,"A6",31.6835,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2012
405,4.4,8,"S6",23.1521,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
406,1.5,4,"A5",49.3,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
407,3.5,6,"A4",41.2,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",1,1,"CompactCars",1,0,2010
408,3.6,6,"A6",33,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
409,2.5,4,"S4",37.0378,"NaturallyAspirated",4,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2011
410,1.6,4,"S6",50.9588,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1,2012
411,2.5,4,"M5",37.071,"NaturallyAspirated",5,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",0,1,2010
412,5.7,12,"M6",21.1,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
413,3,6,"M6",34.2853,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"CompactCars",1,0,2010
